state,specialty,ndb_spec,credentialing_required
NJ,Pharmacy,,No
NJ,Portable Diag Img Supplier,,Yes
NJ,Radiation Oncology Center,,No
NJ,Rehabilitation Clinic,,Yes (CORFs only - Comprehensive Outpatient Rehab Facilty)
NJ,Rural Health Clinic (RHC),,Yes
NJ,Sleep Study Center,,No
NJ,Surgery Suite/Center,,No
NJ,Transition Service Agency (HCBS),,No
NJ,Urgent Care Center/Clinic,,No (Yes for AZ Only)
NJ,Veteran's Administration Medical Clinic (VAMC),,No
NJ,Wellness Service Provider,,No
NJ,X-Ray/Radiology Center,,No
NJ,Abdominal Surgery,270,Yes (as Surgery)
NJ,Addiction Medicine,347,No2
NJ,Addiction Psychiatry,301,No2
NJ,Adolescent Medicine,276,Yes
NJ,Allergy,252,Yes (as Allergy and Immunology)
NJ,Allergy and Immunology,3,Yes
NJ,Anatomic & Clinical Pathology,203,No1 (Except MO)
NJ,Anatomic Pathology,202,No1 (Except MO)
NJ,Anesthesiology,5,No1 (Except MO)
NJ,Back & Spine Surgery,348,Yes (as Neurological Surgery or Orthopaedic Surgery)
NJ,Blood Banking/Transfusion Medicine,334,No
NJ,Bone Marrow Transplant,366,Yes
NJ,Breast Reconstruction,359,Yes (as Plastic Surgery or Reconstructive Surgery)
NJ,Breast Surgery,358,Yes (as Plastic Surgery or Surgery)
NJ,Cardiac Diagnostic,513,Yes (as Cardiovascular Disease)
NJ,Cardiology,12,Yes (as Cardiovascular Disease)
NJ,Cardiovascular Disease,6,Yes
NJ,Cardiovascular Surgery,500,Yes
NJ,Chemical Pathology,207,No1 (Except MO)
NJ,Chest and Respiratory Therapy,75,Yes
NJ,Child & Adolescent Psychiatry,257,No2
NJ,Child Neurology,208,Yes
NJ,Child Psychology,268,No2
NJ,Clinical Biochemical Genetics,305,Yes
NJ,Clinical Biochemical/Molecular Genetics,306,Yes (as Clinical Biochemical or Clinical Molecular Genetics)
NJ,Clinical Cardiac Electrophysiology,304,Yes
NJ,Clinical Cytogenetics,307,Yes
NJ,Clinical Genetics,308,Yes
NJ,Clinical Molecular Genetics,370,Yes
NJ,Clinical Neurophysiology,310,Yes
NJ,Clinical Pathology,210,No1 (Except MO)
NJ,Clinical Pharmacology,211,No
NJ,Colon and Rectal Surgery,15,Yes
NJ,Counselor - MH/SA/School,377,No2
NJ,Crisis Diversion,378,No2
NJ,Critical Care Medicine,214,Yes
NJ,Cytopathology,312,No1 (Except MO)
NJ,Dermatology,7,Yes
NJ,Dermatopathology,218,Yes
NJ,Diabetes,278,"Yes (as Endocrinology, Diabetes and Metabolism)"
NJ,Diag Rad with Special Competence in Nuclear Rad,345,Yes (as Diagnostic Radiology)
NJ,Diagnostic Lab Immunology,107,Yes (as Clinical and Laboratory Immunology or Immunology)
NJ,Diagnostic Radiology,220,No1 (Except MO)
NJ,Digestive Diseases,509,Yes (as Gastroenterology)
NJ,Early Intervention,122,Yes (as Preventative Medicine)
NJ,Emergency Medicine,42,No1 (Except MO)
NJ,"Endocrinology, Diabetes and Metabolism",17,Yes
NJ,Family Planning,123,"Yes (as FP, GP, IM, OBGYN, NP, or PA)"
NJ,Family Practice,8,Yes
NJ,Family Practice Specialist,275,Yes (as Family Practice)
NJ,Forensic Pathology,223,No1 (Except MO)
NJ,Forensic Psychiatry,346,No2
NJ,Gastroenterology,10,Yes
NJ,General Practice,1,Yes
NJ,General Practice Specialist,272,Yes (as General Practice)
NJ,General Vascular Surgery,95,Yes
NJ,Geriatric Medicine,38,Yes
NJ,Geriatric Psychiatry,314,No2
NJ,Gynecologic Oncology,221,Yes
NJ,Gynecology,251,Yes (as Obstetrics And Gynecology)
NJ,Hand Surgery,40,Yes
NJ,Head & Neck Surgery,271,Yes (as Plastic Surgery - Head and Neck)
NJ,Headache Treatment,356,Yes (as Neurology or Headache Medicine)
NJ,Hematology,93,Yes
NJ,Hematology/Oncology,504,Yes
NJ,Hepatology - Liver Disease,365,Yes (as Hepatology or Transplant Hepatology)
NJ,High-Risk Pregnancy,353,Yes (as Obstetrics And Gynecology or Perinatology)
NJ,HIV-AIDS,360,Yes (as Internal Medicine or Infectious Disease)
NJ,Hospice & Palliative Medicine,19,Yes
NJ,Hospitalist,340,No1 (Except MO)
NJ,Hyperbaric Medicine/Wound Care,373,Yes (as Undersea and Hyperbaric Medicine)
NJ,Immunology,283,Yes (as Allergy and Immunology)
NJ,Immunopathology,225,No1 (Except MO)
NJ,Independent Medical Examiner,97,No
NJ,Infectious Disease Medicine,80,Yes
NJ,Infertility Medicine,352,Yes (as Obstetrics and Gynecology or Reproductive Endocrinology/Infertility)
NJ,Internal Medicine,11,Yes
NJ,Internal Medicine Pediatrics,,Yes (as Internal Medicine and Pediatrics)
NJ,Internal Medicine Specialist,273,Yes (as Internal Medicine)
NJ,Interventional Cardiology,342,Yes
NJ,Interventional Radiology,124,Yes
NJ,Knee Surgery,349,Yes (as Orthopaedic Surgery or Surgery)
NJ,Laryngology,284,Yes (as Otolaryngology)
NJ,Legal Medicine,285,No
NJ,Licensed Professional Counselor,381,No2
NJ,Marriage & Family Therapy,318,No2
NJ,Medical Genetics,309,Yes
NJ,Medical Microbiology,227,No
NJ,Medical Oncology,59,Yes
NJ,Medical Toxicology,333,No
NJ,MOHS Surgery,357,Yes
NJ,Molecular Genetic Pathology,371,No1 (Except MO)
NJ,Movement Disorders,249,Yes (as Neurology or Neuromuscular Disease)
NJ,MRI/Magnetic Resonance,511,No1 (Except MO)
NJ,Neonatology,87,No1 (Except MO)
NJ,Neoplastics Diseases,502,Yes (as Hematology or Oncology)
NJ,Nephrology,39,Yes
NJ,Neurodevelopmental Disabilities,343,Yes
NJ,Neurological Surgery,14,Yes
NJ,Neurology,13,Yes
NJ,Neurology & Psychiatry,228,No2
NJ,Neuromuscular Disease,269,Yes
NJ,Neuropathology,229,No1 (Except MO)
NJ,Neuroradiology,332,No1 (Except MO)
NJ,Nuclear Cardiology,16,Yes
NJ,Nuclear Medicine,36,No1 (Except MO)
NJ,Nuclear Radiology,286,No1 (Except MO)
NJ,Obstetrics,250,Yes (as Obstetrics And Gynecology)
NJ,Obstetrics And Gynecology,230,Yes
NJ,Occupational Medicine,231,Yes
NJ,Ophthalmic Plastic Surgery,364,Yes (as Ophthalmology)
NJ,Ophthalmology,18,Yes
NJ,Ophthalmology Cornea Surgery,355,Yes
NJ,Ophthalmology Retina Surgery,354,Yes
NJ,Oral and Maxillofacial Surgery,92,Yes
NJ,Oral Pathology,232,Yes
NJ,Orofacial Plastic Surgery,233,Yes
NJ,Orthopedic Surgery,20,Yes
NJ,Osteopathic Manipulative Medicine,330,Yes
NJ,Otolaryngology (ENT),4,Yes
NJ,Otology,254,Yes (as Otolaryngology)
NJ,Pain Management,319,Yes
NJ,Pastoral Counselor,388,No
NJ,Pathology,22,No1 (Except MO)
NJ,Pediatric Allergy Immunology,86,Yes
NJ,Pediatric Anesthesiology,116,No1 (Except MO)
NJ,Pediatric Behavioral,363,No2
NJ,Pediatric Cardiology,85,Yes
NJ,Pediatric Cardiothoracic Surgery,505,Yes (as Pediatric Surgery)
NJ,Pediatric Child Abuse,258,Yes
NJ,Pediatric Critical Care Medicine,234,Yes
NJ,Pediatric Dermatology,117,Yes
NJ,Pediatric Developmental & Behavioral,255,Yes
NJ,Pediatric Emergency Medicine,321,Yes
NJ,Pediatric Endocrinology,82,Yes
NJ,Pediatric Gastroenterology,259,Yes
NJ,Pediatric Genetics,260,Yes
NJ,Pediatric Hematology Oncology,88,Yes
NJ,Pediatric Infectious Disease Medicine,78,Yes
NJ,Pediatric Nephrology,31,Yes
NJ,Pediatric Neurology,262,Yes
NJ,Pediatric Neurosurgery,81,Yes (as Neurological Surgery)
NJ,Pediatric Ophthalmology,263,Yes
NJ,Pediatric Orthopedic Surgery,264,Yes
NJ,Pediatric Otolaryngology (ENT),265,Yes
NJ,Pediatric Pathology,322,No1 (Except MO)
NJ,Pediatric Plastic Surgery,266,Yes (as Plastic Surgery)
NJ,Pediatric Pulmonary Medicine,96,Yes
NJ,Pediatric Radiology,288,No1 (Except MO)
NJ,Pediatric Rehabilitation Medicine,341,Yes
NJ,Pediatric Rheumatology,261,Yes
NJ,Pediatric Specialist,274,Yes (as Pediatrics)
NJ,Pediatric Speech Pathologist,115,No2
NJ,Pediatric Sports Medicine,323,Yes
NJ,Pediatric Surgery,114,Yes
NJ,Pediatric Urology,267,Yes
NJ,Pediatrics,37,Yes
NJ,Perinatology (Maternal & Fetal Medicine),226,Yes
NJ,Phlebology,396,Yes
NJ,Physical Medicine and Rehabilitation / Physiatry,25,Yes
NJ,Physician Nutrition Specialist,103,Yes
NJ,Plastic Surgery,24,Yes
NJ,Plastic Surgery within the Head & Neck,337,Yes
NJ,Preventative Medicine Aerospace,41,Yes
NJ,Preventive Medicine,281,Yes
NJ,Proctology,28,Yes
NJ,Psychiatric Nurse Specialist/Practitioner,329,No2
NJ,Psychiatric Social Work,9,No2
NJ,Psychiatry,26,No2
NJ,"Psychology, Clinical (Doctorate Level)",70,No2
NJ,Psychosomatic Medicine,291,No2
NJ,Public Health,238,Yes
NJ,Public Health & General Preventive Medicine,236,Yes
NJ,Pulmonary Medicine,29,Yes
NJ,Radiation Oncology,32,Yes
NJ,Radioisotopic Pathology,240,No1 (Except MO)
NJ,Radioisotopic Radiology,503,Yes (as Nuclear Medicine or Nuclear Radiology)
NJ,Radiological Physics,324,Yes (as Radiation Oncology)
NJ,Radiology,30,No1 (Except MO)
NJ,Rehabilitative Medicine,253,Yes
NJ,Reproductive Endocrinology,241,Yes
NJ,Rheumatology,90,Yes
NJ,Rhinology,292,Yes (as Otolaryngology)
NJ,Shoulder Surgery,350,Yes (as Orthopaedic Surgery or Surgery)
NJ,Sleep Study Medicine,361,Yes
NJ,"Social Worker, Licensed Clinical/Medical",63,No2
NJ,Spinal Cord Injury Medicine,344,Yes
NJ,Sports Medicine,296,Yes
NJ,Surgery,2,Yes
NJ,Surgical Critical Care,242,Yes
NJ,Surgical Oncologist,508,Yes
NJ,Therapeutic Radiology,239,Yes (as Radiation Oncology or Interventional Radiology)
NJ,Thoracic Cardiovascular Surgery,33,Yes
NJ,Thoracic Surgery,101,Yes
NJ,Traumatic Surgery,293,Yes
NJ,Undersea and Hyperbaric Medicine,327,Yes
NJ,Undersea Medicine,372,Yes
NJ,Urgent Care Medicine,328,No1 (Except MO)
NJ,Urology,34,Yes
NJ,Vascular Intervention Radiology,335,No1 (Except MO)
NM,Acupuncture,201,No2
NM,Addiction Medicine Specialist,331,No2
NM,Advanced Practice Registered Psychiatric Nurse Practitioner,374,No2
NM,Advanced Registered Nurse Practitioner,375,Yes (as Nurse Practitioner)
NM,Athletic Trainer,121,No
NM,Audiology,205,Yes
NM,Behavioral Analyst,300,No2
NM,Certified Diabetic Educator,27,Yes
NM,Certified Nurse Midwife,69,Yes
NM,Certified Registered Nurse Anesthetist,68,No1 (Except MO)
NM,Child Psychology,268,No2
NM,Chiropractic Medicine,35,No2
NM,Christian Science Practitioner,376,No
NM,Counselor - MH/SA/School,377,No2
NM,Dentist,50,No2
NM,"Dentist, Oral Surgeon",92,Yes
NM,Employee Assistance Program (EAP) Counselor,379,No
NM,Empowerment Coach,118,No
NM,Endodontics,51,No2
NM,Family Nurse Practitioner,339,Yes (as Nurse Practitioner)
NM,Genetic Counselor,320,No
NM,Hearing Instrument Specialist,298,No
NM,Home Health  / Private Duty Nurse,243,No
NM,Home Health Aide,67,No
NM,Homemaker,21,No
NM,Homeopathic Medicine,282,No
NM,Lactation Specialist,380,No
NM,Licensed Professional Counselor,381,No2
NM,Licensed Vocational Nurse,382,No
NM,Marriage & Family Therapy,318,No2
NM,Massage Therapy,514,No
NM,Master of Social Work,391,No2
NM,"Naturopathy, Doctor of",384,Yes
NM,Neuropsychology,397,No2
NM,Non-Indep Licensed MH Provider,244,No
NM,Nurse Practitioner,77,Yes
NM,"Nurse Practitioner, Clinical Specialist in Mental Health (NP)",387,No2
NM,"Nurse, Clinical Specialist in Mental Health",385,No2
NM,"Nurse, Licensed Practical",65,No
NM,"Nurse, Registered",64,No
NM,"Nurse, Registered, First Assistant (RNFA)",386,No
NM,Nutritionist (Registered Dietician),89,Yes
NM,Occupational Therapy,61,No2
NM,Optician,109,No
NM,Optometry,76,No2
NM,Orthodontics,52,No2
NM,Pastoral Counselor,388,No
NM,Pediatric Nurse Practitioner,389,Yes (as Nurse Practitioner)
NM,Pediatric Nutrition,120,Yes (as Registered Dietician)
NM,Pediatric Occupational Therapy,119,No2
NM,Pedodontics,53,No2
NM,Peridontics,54,No2
NM,Pharmacist,212,No
NM,Physical Therapy,73,No2
NM,Physical Therapy - Hand,368,No2
NM,Physical Therapy - Hand Splinting,369,No2
NM,Physical Therapy - Pediatric,367,No2
NM,Physician Assistant,338,Yes
NM,Podiatry,48,Yes
NM,Prosthodontics,55,No2
NM,Psychiatric Nurse Specialist/Practitioner,329,No2
NM,"Psychology, Clinical (Doctorate Level)",70,No2
NM,"Psychology, Clinical (Masters Level)",70,No2
NM,Registered Nurse Anesthetist,395,No1 (Except MO)
NM,Social Worker (Registered Social Worker),390,No2
NM,"Social Worker, Licensed Clinical/Medical",63,No2
NM,"Social Worker, Marriage & Family",392,No2
NM,Speech Pathology,246,No2
NM,Speech Therapy,74,No2
NM,"Substance Abuse Services, Alcohol & Drug",507,No
NM,Surgical Technician,393,No
NM,Unknown Physician/Doctor of Education,99,No
NM,Visiting Nurse,394,No
NM,Certified Asthma Educator,43,No
NM,Assisted Care Living Facility - Center  (HCBS,,No
NM,Assisted Care Living Facility - Home  (HCBS,,No
NM,Critical Access Hospital,,Yes (as General Acute Hospital)
NM,General Acute Care Hospital,,Yes
NM,Hospital Unit - Epilepsy,,Yes (as General Acute Hospital)
NM,Hospital Unit - Psychiatry,,No2
NM,Hospital Unit - Rehabilitation,,Yes (as General Acute Hospital)
NM,Indian Health Service Hospital,,No
NM,In-Patient Hospice,,Yes
NM,Physical Disability / Rehabilitation Facility,,Yes
NM,Long Term Acute Care Facility (LTAC),,Yes
NM,Medicare Defined Swing Bed,,Yes (as General Acute Hospital)
NM,Military Hospital,,No
NM,Military Treatment Facility / TRICARE USE ONLY,,No
NM,Non Medical In-Patient Facility,,No
NM,Osteopathic Hospital,,Yes
NM,Pediatric Hospital,,Yes
NM,Psychiatric Hospital,,No2
NM,Religious Nonmedical Health Care Institution,,No
NM,"Residential Treatment Facility (Facility, Community/MHDD)",,No
NM,Respite Care Facility,,No
NM,Alcohol/Chemical Dependency Treatment Center,,No
NM,School / Custodial /Developmental Center,,No
NM,Skilled Nursing  Facility (Convalescent Facility),,Yes
NM,Veteran's Administration or other Gov'tal Facility,,No
NM,Pest Control Company (HCBS),,No
NM,Adult Day Care/Social Day Care,,No
NM,Adult Day Health Care,,No
NM,Adult Foster Care (HCBS),,No
NM,Alcohol Treatment Center/Clinic,,No
NM,Ambulance - Freestanding,,No
NM,Ambulance - Hospital Based,,No
NM,Ambulatory Surgery Center/ASC,,Yes
NM,Assitive Technology Supplier  (HCBS),,No
NM,Attendant Care Agency/In Home Supportive Care,,No
NM,Audiology/Hearing Center - DIAGNOSTIC,,No
NM,Audiology/Hearing Center - SURGICAL,,No
NM,Autism ABA Agency/Clinic,,No
NM,Birthing Clinic,,Yes (TRICARE Only)
NM,Blood Bank,,No
NM,Cardiac Diagnostic Center,,No
NM,Cardiac Rehab Center/Clinic,,No
NM,Family Planning Clinic,,No
NM,Community Based Hospice,,Yes
NM,Community/Public Health Clinic,,No
NM,Convenience Care Clinic,,No
NM,Diabetes Education Center,,Yes
NM,Diagnostic/Treatment Center - Both Lab & Radiology Services,,No
NM,Diagnostic/Treatment Center - LAB BASED SERVICES ONLY,,No
NM,Diagnostic/Treatment Center - RADIOLOGY ONLY,,No
NM,Dialysis Center,,Yes
NM,Durable Medical Equipment (Medical Supply Company),,No
NM,Durable Medical Equipment Orthotics/Prosthetics,,No
NM,Environmental Adaptation Company (HCBS),,No
NM,Family Planning Clinic,,No
NM,Federally Qualified Health Center (FQHC),,Yes
NM,Freestanding Emergency Dept,,No
NM,Habilitation Agency (HCBS),,No
NM,Hemophiliac Treatment Center- PHARMACY ONLY,,No
NM,Home Delivered Meals Agency (HCBS),,No
NM,Home Health Care Agency/PACE Provider Agency,,Yes
NM,Home Health/Home Infusion (Combined),,Yes
NM,Homemaker Agency (HCBS),,No
NM,Hyperbaric Oxygen Chamber,,No
NM,Infertility Center,,No
NM,Infirmary,,No
NM,Infusion Therapy - Home & Clinic,,No
NM,Laboratory Center (Independent or Commercial),,Yes
NM,Lithotripsy Centers,,No
NM,Magnetic Resonance Imaging Center/Clinic,,No
NM,MHSA Rehabilitation Facility,,No (Yes for AZ Only)
NM,Non -Emergent Transportation,,No
NM,Personal Care,,No
NM,Pediatric Medical Day Care (HCBS),,No
NM,Pharmacy,,No
NM,Portable Diag Img Supplier,,Yes
NM,Radiation Oncology Center,,No
NM,Rehabilitation Clinic,,Yes (CORFs only - Comprehensive Outpatient Rehab Facilty)
NM,Rural Health Clinic (RHC),,Yes
NM,Sleep Study Center,,No
NM,Surgery Suite/Center,,No
NM,Transition Service Agency (HCBS),,No
NM,Urgent Care Center/Clinic,,No (Yes for AZ Only)
NM,Veteran's Administration Medical Clinic (VAMC),,No
NM,Wellness Service Provider,,No
NM,X-Ray/Radiology Center,,No
NM,Abdominal Surgery,270,Yes (as Surgery)
NM,Addiction Medicine,347,No2
NM,Addiction Psychiatry,301,No2
NM,Adolescent Medicine,276,Yes
NM,Allergy,252,Yes (as Allergy and Immunology)
NM,Allergy and Immunology,3,Yes
NM,Anatomic & Clinical Pathology,203,No1 (Except MO)
NM,Anatomic Pathology,202,No1 (Except MO)
NM,Anesthesiology,5,No1 (Except MO)
NM,Back & Spine Surgery,348,Yes (as Neurological Surgery or Orthopaedic Surgery)
NM,Blood Banking/Transfusion Medicine,334,No
NM,Bone Marrow Transplant,366,Yes
NM,Breast Reconstruction,359,Yes (as Plastic Surgery or Reconstructive Surgery)
NM,Breast Surgery,358,Yes (as Plastic Surgery or Surgery)
NM,Cardiac Diagnostic,513,Yes (as Cardiovascular Disease)
NM,Cardiology,12,Yes (as Cardiovascular Disease)
NM,Cardiovascular Disease,6,Yes
NM,Cardiovascular Surgery,500,Yes
NM,Chemical Pathology,207,No1 (Except MO)
NM,Chest and Respiratory Therapy,75,Yes
NM,Child & Adolescent Psychiatry,257,No2
NM,Child Neurology,208,Yes
NM,Child Psychology,268,No2
NM,Clinical Biochemical Genetics,305,Yes
NM,Clinical Biochemical/Molecular Genetics,306,Yes (as Clinical Biochemical or Clinical Molecular Genetics)
NM,Clinical Cardiac Electrophysiology,304,Yes
NM,Clinical Cytogenetics,307,Yes
NM,Clinical Genetics,308,Yes
NM,Clinical Molecular Genetics,370,Yes
NM,Clinical Neurophysiology,310,Yes
NM,Clinical Pathology,210,No1 (Except MO)
NM,Clinical Pharmacology,211,No
NM,Colon and Rectal Surgery,15,Yes
NM,Counselor - MH/SA/School,377,No2
NM,Crisis Diversion,378,No2
NM,Critical Care Medicine,214,Yes
NM,Cytopathology,312,No1 (Except MO)
NM,Dermatology,7,Yes
NM,Dermatopathology,218,Yes
NM,Diabetes,278,"Yes (as Endocrinology, Diabetes and Metabolism)"
NM,Diag Rad with Special Competence in Nuclear Rad,345,Yes (as Diagnostic Radiology)
NM,Diagnostic Lab Immunology,107,Yes (as Clinical and Laboratory Immunology or Immunology)
NM,Diagnostic Radiology,220,No1 (Except MO)
NM,Digestive Diseases,509,Yes (as Gastroenterology)
NM,Early Intervention,122,Yes (as Preventative Medicine)
NM,Emergency Medicine,42,No1 (Except MO)
NM,"Endocrinology, Diabetes and Metabolism",17,Yes
NM,Family Planning,123,"Yes (as FP, GP, IM, OBGYN, NP, or PA)"
NM,Family Practice,8,Yes
NM,Family Practice Specialist,275,Yes (as Family Practice)
NM,Forensic Pathology,223,No1 (Except MO)
NM,Forensic Psychiatry,346,No2
NM,Gastroenterology,10,Yes
NM,General Practice,1,Yes
NM,General Practice Specialist,272,Yes (as General Practice)
NM,General Vascular Surgery,95,Yes
NM,Geriatric Medicine,38,Yes
NM,Geriatric Psychiatry,314,No2
NM,Gynecologic Oncology,221,Yes
NM,Gynecology,251,Yes (as Obstetrics And Gynecology)
NM,Hand Surgery,40,Yes
NM,Head & Neck Surgery,271,Yes (as Plastic Surgery - Head and Neck)
NM,Headache Treatment,356,Yes (as Neurology or Headache Medicine)
NM,Hematology,93,Yes
NM,Hematology/Oncology,504,Yes
NM,Hepatology - Liver Disease,365,Yes (as Hepatology or Transplant Hepatology)
NM,High-Risk Pregnancy,353,Yes (as Obstetrics And Gynecology or Perinatology)
NM,HIV-AIDS,360,Yes (as Internal Medicine or Infectious Disease)
NM,Hospice & Palliative Medicine,19,Yes
NM,Hospitalist,340,No1 (Except MO)
NM,Hyperbaric Medicine/Wound Care,373,Yes (as Undersea and Hyperbaric Medicine)
NM,Immunology,283,Yes (as Allergy and Immunology)
NM,Immunopathology,225,No1 (Except MO)
NM,Independent Medical Examiner,97,No
NM,Infectious Disease Medicine,80,Yes
NM,Infertility Medicine,352,Yes (as Obstetrics and Gynecology or Reproductive Endocrinology/Infertility)
NM,Internal Medicine,11,Yes
NM,Internal Medicine Pediatrics,,Yes (as Internal Medicine and Pediatrics)
NM,Internal Medicine Specialist,273,Yes (as Internal Medicine)
NM,Interventional Cardiology,342,Yes
NM,Interventional Radiology,124,Yes
NM,Knee Surgery,349,Yes (as Orthopaedic Surgery or Surgery)
NM,Laryngology,284,Yes (as Otolaryngology)
NM,Legal Medicine,285,No
NM,Licensed Professional Counselor,381,No2
NM,Marriage & Family Therapy,318,No2
NM,Medical Genetics,309,Yes
NM,Medical Microbiology,227,No
NM,Medical Oncology,59,Yes
NM,Medical Toxicology,333,No
NM,MOHS Surgery,357,Yes
NM,Molecular Genetic Pathology,371,No1 (Except MO)
NM,Movement Disorders,249,Yes (as Neurology or Neuromuscular Disease)
NM,MRI/Magnetic Resonance,511,No1 (Except MO)
NM,Neonatology,87,No1 (Except MO)
NM,Neoplastics Diseases,502,Yes (as Hematology or Oncology)
NM,Nephrology,39,Yes
NM,Neurodevelopmental Disabilities,343,Yes
NM,Neurological Surgery,14,Yes
NM,Neurology,13,Yes
NM,Neurology & Psychiatry,228,No2
NM,Neuromuscular Disease,269,Yes
NM,Neuropathology,229,No1 (Except MO)
NM,Neuroradiology,332,No1 (Except MO)
NM,Nuclear Cardiology,16,Yes
NM,Nuclear Medicine,36,No1 (Except MO)
NM,Nuclear Radiology,286,No1 (Except MO)
NM,Obstetrics,250,Yes (as Obstetrics And Gynecology)
NM,Obstetrics And Gynecology,230,Yes
NM,Occupational Medicine,231,Yes
NM,Ophthalmic Plastic Surgery,364,Yes (as Ophthalmology)
NM,Ophthalmology,18,Yes
NM,Ophthalmology Cornea Surgery,355,Yes
NM,Ophthalmology Retina Surgery,354,Yes
NM,Oral and Maxillofacial Surgery,92,Yes
NM,Oral Pathology,232,Yes
NM,Orofacial Plastic Surgery,233,Yes
NM,Orthopedic Surgery,20,Yes
NM,Osteopathic Manipulative Medicine,330,Yes
NM,Otolaryngology (ENT),4,Yes
NM,Otology,254,Yes (as Otolaryngology)
NM,Pain Management,319,Yes
NM,Pastoral Counselor,388,No
NM,Pathology,22,No1 (Except MO)
NM,Pediatric Allergy Immunology,86,Yes
NM,Pediatric Anesthesiology,116,No1 (Except MO)
NM,Pediatric Behavioral,363,No2
NM,Pediatric Cardiology,85,Yes
NM,Pediatric Cardiothoracic Surgery,505,Yes (as Pediatric Surgery)
NM,Pediatric Child Abuse,258,Yes
NM,Pediatric Critical Care Medicine,234,Yes
NM,Pediatric Dermatology,117,Yes
NM,Pediatric Developmental & Behavioral,255,Yes
NM,Pediatric Emergency Medicine,321,Yes
NM,Pediatric Endocrinology,82,Yes
NM,Pediatric Gastroenterology,259,Yes
NM,Pediatric Genetics,260,Yes
NM,Pediatric Hematology Oncology,88,Yes
NM,Pediatric Infectious Disease Medicine,78,Yes
NM,Pediatric Nephrology,31,Yes
NM,Pediatric Neurology,262,Yes
NM,Pediatric Neurosurgery,81,Yes (as Neurological Surgery)
NM,Pediatric Ophthalmology,263,Yes
NM,Pediatric Orthopedic Surgery,264,Yes
NM,Pediatric Otolaryngology (ENT),265,Yes
NM,Pediatric Pathology,322,No1 (Except MO)
NM,Pediatric Plastic Surgery,266,Yes (as Plastic Surgery)
NM,Pediatric Pulmonary Medicine,96,Yes
NM,Pediatric Radiology,288,No1 (Except MO)
NM,Pediatric Rehabilitation Medicine,341,Yes
NM,Pediatric Rheumatology,261,Yes
NM,Pediatric Specialist,274,Yes (as Pediatrics)
NM,Pediatric Speech Pathologist,115,No2
NM,Pediatric Sports Medicine,323,Yes
NM,Pediatric Surgery,114,Yes
NM,Pediatric Urology,267,Yes
NM,Pediatrics,37,Yes
NM,Perinatology (Maternal & Fetal Medicine),226,Yes
NM,Phlebology,396,Yes
NM,Physical Medicine and Rehabilitation / Physiatry,25,Yes
NM,Physician Nutrition Specialist,103,Yes
NM,Plastic Surgery,24,Yes
NM,Plastic Surgery within the Head & Neck,337,Yes
NM,Preventative Medicine Aerospace,41,Yes
NM,Preventive Medicine,281,Yes
NM,Proctology,28,Yes
NM,Psychiatric Nurse Specialist/Practitioner,329,No2
NM,Psychiatric Social Work,9,No2
NM,Psychiatry,26,No2
NM,"Psychology, Clinical (Doctorate Level)",70,No2
NM,Psychosomatic Medicine,291,No2
NM,Public Health,238,Yes
NM,Public Health & General Preventive Medicine,236,Yes
NM,Pulmonary Medicine,29,Yes
NM,Radiation Oncology,32,Yes
NM,Radioisotopic Pathology,240,No1 (Except MO)
NM,Radioisotopic Radiology,503,Yes (as Nuclear Medicine or Nuclear Radiology)
NM,Radiological Physics,324,Yes (as Radiation Oncology)
NM,Radiology,30,No1 (Except MO)
NM,Rehabilitative Medicine,253,Yes
NM,Reproductive Endocrinology,241,Yes
NM,Rheumatology,90,Yes
NM,Rhinology,292,Yes (as Otolaryngology)
NM,Shoulder Surgery,350,Yes (as Orthopaedic Surgery or Surgery)
NM,Sleep Study Medicine,361,Yes
NM,"Social Worker, Licensed Clinical/Medical",63,No2
NM,Spinal Cord Injury Medicine,344,Yes
NM,Sports Medicine,296,Yes
NM,Surgery,2,Yes
NM,Surgical Critical Care,242,Yes
NM,Surgical Oncologist,508,Yes
NM,Therapeutic Radiology,239,Yes (as Radiation Oncology or Interventional Radiology)
NM,Thoracic Cardiovascular Surgery,33,Yes
NM,Thoracic Surgery,101,Yes
NM,Traumatic Surgery,293,Yes
NM,Undersea and Hyperbaric Medicine,327,Yes
NM,Undersea Medicine,372,Yes
NM,Urgent Care Medicine,328,No1 (Except MO)
NM,Urology,34,Yes
NM,Vascular Intervention Radiology,335,No1 (Except MO)
NV,Acupuncture,201,No2
NV,Addiction Medicine Specialist,331,No2
NV,Advanced Practice Registered Psychiatric Nurse Practitioner,374,No2
NV,Advanced Registered Nurse Practitioner,375,Yes (as Nurse Practitioner)
NV,Athletic Trainer,121,No
NV,Audiology,205,Yes
NV,Behavioral Analyst,300,No2
NV,Certified Diabetic Educator,27,Yes
NV,Certified Nurse Midwife,69,Yes
NV,Certified Registered Nurse Anesthetist,68,No1 (Except MO)
NV,Child Psychology,268,No2
NV,Chiropractic Medicine,35,No2
NV,Christian Science Practitioner,376,No
NV,Counselor - MH/SA/School,377,No2
NV,Dentist,50,No2
NV,"Dentist, Oral Surgeon",92,Yes
NV,Employee Assistance Program (EAP) Counselor,379,No
NV,Empowerment Coach,118,No
NV,Endodontics,51,No2
NV,Family Nurse Practitioner,339,Yes (as Nurse Practitioner)
NV,Genetic Counselor,320,No
NV,Hearing Instrument Specialist,298,No
