lastname,taxid,mpin,provstatus,provtype,orgtypecd,state
JACOBI MEDICAL CENTER                   ,132655001,226314,P,O,1,NY
JACOBI MEDICAL CENTER                   ,146013200,5225808,N,O,1,NY
JACOBSON MEMORIAL HOSPITAL CARE CENTER  ,450222079,378944,P,O,1,ND
JAKCSON NORTH MEDICAL CENTER            ,591713947,6104899,N,O,1,FL
JAMAICA HOSPITAL                        ,111631788,434472,P,O,1,NY
JAMES ARCHER SMITH HOSPITAL             ,592246396,1648305,N,O,1,FL
JAMES B HAGGIN MEMO HOSP                ,610510934,502545,P,O,1,KY
JAMES CANCER HOSPITAL                   ,311322863,817821,P,O,1,PA
JAMES CANCER HOSPITAL                   ,311445515,817821,P,O,1,OH
JAMES D DYE MD                          ,621559853,1402305,N,O,1,AR
JAMES VAN ZANDT VETERANS AFFAIRS MEDICAL,888888888,3241456,N,O,1,PA
JAMES WHITCOMB RILEY CHLDRNS HSP        ,356001673,897287,N,O,1,IN
JAMESTOWN REGIONAL MEDICAL CENTER       ,450231181,1156833,P,O,1,ND
JAMESTOWN REGIONAL MEDICAL CENTER       ,450231101,1156833,P,O,1,ND
JANE CHINN HOSPITAL                     ,942830612,452952,N,O,1,MO
JANE PHILLIPS MEDICAL CENTER            ,730606129,130546,P,O,1,OK
JANE PHILLIPS NOWATA HEALTH CTR         ,731440267,748798,P,O,1,OK
JANE TODD CRAWFORD MEMORIAL HOSP        ,610595335,695922,P,O,1,KY
JANE TODD CRAWFORD MEMORIAL HOSP        ,204474637,695922,P,O,1,KY
JARMAN MEMORIAL HOSPITAL                ,376000728,46150,N,O,1,IL
JARY BARRETO CRISIS CENTER              ,953248148,1859096,N,O,1,CA
JASPER COUNTY HOSPITAL                  ,351404051,5708172,N,O,1,IN
JASPER GENERAL HOSP                     ,640394192,541497,P,O,1,MS
JASPER MEMORIAL HOSPITAL                ,582510435,277238,P,O,1,GA
JAY COUNTY HOSPITAL                     ,351143305,492586,P,O,1,IN
JAY HOSPITAL                            ,592425149,962773,P,O,1,GA
JCL DV HOSPITAL                         ,860181654,657638,P,O,1,CA
JD BILLING ENTERPRISES                  ,742676285,1726713,N,O,1,TX
JEANES HOSPITAL                         ,232826045,494350,P,O,1,PA
JEFF DAVIS HOSPITAL                     ,580903829,185959,P,O,1,GA
JEFF DAVIS HOSPITAL                     ,800873818,185959,P,O,1,MI
JEFFERSON CO HOSP                       ,640432360,570597,P,O,1,MS
JEFFERSON COMMUNITY HEALTH CTR          ,470468078,495747,P,O,1,NE
JEFFERSON COUNTY HOSPITAL               ,731549623,13228,P,O,1,OK
JEFFERSON COUNTY HOSPITAL               ,426005842,280951,P,O,1,IA
JEFFERSON COUNTY MED CLINIC             ,480918733,1618022,N,O,1,KS
JEFFERSON COUNTY MEMORIAL HOSPIT        ,480576046,553549,P,O,1,ME
JEFFERSON DAVIS COMMUNITY HOSPITAL      ,646001587,579080,P,O,1,MS
JEFFERSON HEALTHCARE                    ,910928081,196787,P,O,1,WA
JEFFERSON HOSPITAL                      ,621129598,695302,N,O,1,VA
JEFFERSON HOSPITAL                      ,521495932,695302,N,O,1,VA
JEFFERSON HOSPITAL                      ,581309961,401099,P,O,1,GA
JEFFERSON MEDICAL CENTER                ,550359755,490112,P,O,1,WV
JEFFERSON OAKS BEHAVIORAL HEALTH        ,201244919,2471232,P,O,1,LA
JEFFERSON REGIONAL MED CENTER           ,251260215,277948,P,O,1,PA
JEFFERSON REGIONAL MEDICA               ,716007389,2279358,N,O,1,AR
JEFFERSON REGIONAL MEDICAL CTR          ,710329353,341538,P,O,1,AR
JEG AT GREATER CHICAGO                  ,753038671,2235018,N,O,1,CA
JEG AT IBERIA                           ,43654411,2279410,N,O,1,LA
JEG HEALTH SERVICE OF CA                ,202234557,2583828,N,O,1,CA
JEG HEALTH SERVICE OF TEXAS             ,202232017,2573491,N,O,1,TX
JELLICO COMMUNITY HOSPITAL              ,620924706,568241,P,O,1,TX
JENKINS COMMUNITY HOSPITAL              ,311523963,1656179,N,O,1,KY
JENKINS COMMUNITY HOSPITAL              ,621636465,1656179,N,O,1,TN
JENNERSVILLE REG HOSPITAL               ,251892279,2103370,P,O,1,PA
JENNIE M MELHAM MEMORIAL MED CTR        ,470426530,648307,P,O,1,NE
JENNIE STUART MEDICAL CENTER            ,610482973,939104,P,O,1,KY
JENNINGS AMERICAN LEGION HOSPITAL       ,720445607,595984,P,O,1,LA
JENNINGS SENIOR CARE HOSPITAL           ,201287366,2756313,P,O,1,LA
JEROLD PHELPS COMMUNITY HOSP            ,942664285,687135,P,O,1,CA
JERSEY CITY MEDICAL CENTER              ,222783298,682667,P,O,1,NY
JERSEY COMMUNITY HOSPITAL               ,376013958,312123,P,O,1,IL
JERSEY SHORE HOSPITAL                   ,240792115,209061,P,O,1,PA
JERSEY SHORE UNIV MED CTR               ,223471515,555495,P,O,1,NJ
JESSE PARKER WILLIAMS HO                ,580601653,659047,P,O,1,GA
JEWELL COUNTY HOSPITAL                  ,480764254,189132,P,O,1,KS
JEWISH HOSP WU/DEPT OF INTERNAL MED     ,430653611,2306659,N,O,1,MO
JEWISH HOSPITAL                         ,271408630,366710,P,O,1,OH
JEWISH HOSPITAL                         ,611029768,382718,P,O,1,PA
JEWISH HOSPITAL                         ,311050609,366710,P,O,1,OH
JEWISH HOSPITAL AND MED CTR             ,110923630,1531084,N,O,1,NY
JEWISH HOSPITAL OF CINCINNATI           ,271408630,3559863,N,O,1,OH
JEWISH HOSPITAL OF SHELBYVILLE          ,611029768,409097,P,O,1,PA
JEWISH HOSPITAL OF ST LOUIS             ,430652644,259425,N,O,1,MO
JEWISH MEMORIAL HOSPITAL AND REHAB CENTE,42104682,241505,N,O,1,MA
JFK MEDICAL CENTER                      ,652694180,724977,P,O,1,FL
JFK MEDICAL CENTER                      ,226019101,111213,P,O,1,NJ
JFK MEDICAL CENTER                      ,621694180,724977,P,O,1,GA
JFK MEDICAL CENTER NORTH CAMPUS         ,621694177,1210062,P,O,1,GA
JIM TALIAFERRO COMMUNITY MHC            ,736017987,40955,P,O,1,OK
JO ELLEN SMITH MEDICAL CENTER           ,953720659,170363,P,O,1,TX
JOE DIMAGGIO CHILDRENS HOSPITAL         ,596014973,2603076,P,O,1,GA
JOELLEN SMITH MEDICAL CENTER            ,521295721,171379,N,O,1,LA
JOHN A ANDREW HOSPITAL                  ,621126610,1657764,N,O,1,AL
JOHN B FRANKLIN MATERNITY HOS           ,232350482,1553036,N,O,1,PA
JOHN C FREMONT HEALTHCARE DISTRICT      ,946003822,725693,P,O,1,CA
JOHN C LINCOLN MEDICAL CENTER           ,860181654,706904,P,O,1,CA
JOHN C STENNIS MEMORIAL HOSPITAL        ,271757642,3306744,P,O,1,OH
JOHN D ARCHBOLD MEMORIAL HOSP           ,580566121,13154,P,O,1,GA
JOHN DEMPSEY HOSPITAL                   ,66000798,459481,P,O,1,CT
JOHN DEMPSEY HOSPITAL                   ,521725543,459481,P,O,1,CT
JOHN ED CHAMBERS MEM HSP                ,716044543,309711,P,O,1,AR
JOHN F KENNEDY MEMORIAL HOSPIT          ,231600634,604397,N,O,1,PA
JOHN F KENNEDY MEMORIAL HOSPITAL        ,752919774,149098,P,O,1,CA
JOHN H STROGER JR HOSP OF COOK CTY      ,366006541,1772379,P,O,1,IL
JOHN J KANE HOSP                        ,251336486,692205,N,O,1,PA
JOHN L DOYNE HOSPITAL                   ,396005720,53177,N,O,1,WI
JOHN MCDONALD HOSPITAL                  ,420698204,273724,N,O,1,IA
JOHN MEADOWS MEMORIAL HOSPITAL          ,580902012,338185,N,O,1,GA
JOHN MUIR BEHAVIORAL HEALTH CENTER      ,680249685,2615298,P,O,1,CA
JOHN MUIR MED CTR CONCORD CAMPUS        ,680396600,457595,P,O,1,CA
JOHN MUIR MED CTR WALNUT CREEK CAMPUS   ,941461843,701478,P,O,1,CA
JOHN PAUL JONES HOSPITAL                ,630934317,2739759,N,O,1,AL
JOHN PETER SMITH HOSPITAL               ,756000439,684614,P,O,1,TX
JOHN RANDOLPH MEDICAL CENTER            ,611272888,1286953,P,O,1,VA
JOHN RUNNELLS HOSPITAL                  ,226002481,113067,N,O,1,NJ
JOHN T  MATHER MEM HOSPITAL             ,131624091,1730334,N,O,1,NY
JOHN T MATHER MEMORIAL HOSP             ,111639818,282392,P,O,1,VT
JOHN TOLFREE HOSPITAL                   ,464088182,5682668,N,O,1,MI
JOHNS HOPKINS ALL CHILDREN'S HOSPITAL   ,590683252,680475,P,O,1,FL
JOHNS HOPKINS BAYVIEW MED CNTR          ,521341890,353294,P,O,1,MD
JOHNS HOPKINS HOSPITAL                  ,520591656,1766384,P,O,1,MD
JOHNS HOPKINS OUTPATIENT                ,521429813,1730005,N,O,1,MD
JOHNSON CITY MED CTR HOSP               ,620476282,268536,P,O,1,TN
JOHNSON COUNTY COMMUNITY HOSPITAL       ,620476282,2268046,P,O,1,TN
JOHNSON COUNTY HOSPITAL                 ,621477138,493893,N,O,1,TN
JOHNSON COUNTY HOSPITAL                 ,476000874,132761,P,O,1,NE
JOHNSON COUNTY MEMORIAL HOSPITAL        ,830249721,466016,P,O,1,WY
JOHNSON MEMORIAL HEALTH SERVICES-MRHC   ,410694689,2223160,P,O,1,MN
JOHNSON MEMORIAL HOSPITAL               ,351166081,505426,P,O,1,IN
JOHNSON MEMORIAL HOSPITAL               ,60646696,465758,P,O,1,VT
JOHNSON MEMORIAL HOSPITAL               ,475676956,465758,P,O,1,VT
JOHNSON REGIONAL MEDICAL CTR            ,710403278,1981586,P,O,1,AR
JOHNSTON MEDICAL CENTER-CLAYTON         ,463176429,3093564,P,O,1,NC
JOHNSTON MEMORIAL HOSPITAL              ,201413993,698555,P,O,1,NC
JOHNSTON MEMORIAL HOSPITAL              ,463176429,698555,P,O,1,NC
JOHNSTON MEMORIAL HOSPITAL              ,540544705,457502,P,O,1,VA
JOHNSTON PSYCHOLOGY ASSOCIATE           ,161372330,1800069,N,O,1,NY
JOHNSTON PSYCHOLOGY ASSOCIATE           ,161539054,1800069,N,O,1,NY
JOHNSTON R BOWMAN HEALTH CENTER         ,362174823,876241,P,O,1,IL
JOHNSTOWN HOSPITAL                      ,141327999,538649,N,O,1,NY
JOINT TOWNSHIP DIST MEMRL HSP           ,341623770,206060,P,O,1,OH
JONES MEMORIAL HOSPITAL                 ,222807681,386921,P,O,1,NY
JONES REGIONAL MED CTR                  ,421487967,269592,P,O,1,UT
JORDAN VALLEY HOSPITAL                  ,870392379,1703451,N,O,1,UT
JORDAN VALLEY MED CTR WEST VALLEY CAMPUS,621795216,723426,P,O,1,UT
JORDAN VALLEY MED CTR WEST VALLEY CAMPUS,820588653,723426,P,O,1,UT
JORDAN VALLEY MEDICAL CENTER            ,820588653,1162348,P,O,1,UT
JORDAN VALLEY MEDICAL CENTER            ,760486792,1162348,P,O,1,UT
JORDAN VALLEY MEDICAL CENTER            ,621795215,1162348,P,O,1,UT
JOSEPH A DINKINS MD PC                  ,200533560,5898595,N,O,1,UT
JOSEPH O RUDDY GENERAL HOSPTIAL         ,0,449151,N,O,1,ON
JULIA L BUTTERFIELD MEMORIAL HSP        ,141416738,64117,N,O,1,NY
JULIA RACKLEY PERRY MEMORIAL HOSPITAL   ,366006057,3692015,N,O,1,IL
JULIETTE FOWLER HOMES                   ,750800655,3105418,N,O,1,TX
JUNCTION                                ,520940056,2143545,N,O,1,MD
JUNEAU SOCIAL SERVICES                  ,920110185,901715,N,O,1,AK
JUPITER MEDICAL CENTER                  ,591460239,519595,P,O,1,FL
KADLEC REGIONAL MEDICAL CENTER          ,910655392,711312,P,O,1,WA
KAHUKU MEDICAL CENTER                   ,990250615,99874,P,O,1,HI
KAHUKU MEDICAL CENTER                   ,870805301,99874,P,O,1,HI
KAISER FNDTN HOSP/SANTA ROSA            ,941105628,1199865,N,O,1,CA
KAISER FNDTN HSP SAN RAFAEL             ,941105628,312675,N,O,1,CA
KAISER FNDTN/SO SAN FRANCISCO           ,941105628,511972,N,O,1,CA
KAISER FOUND HSP WALNUT CREEK           ,941105628,706802,N,O,1,CA
KAISER FOUND/RICHMOND                   ,941105628,21678,N,O,1,HI
KAISER FOUND/SANTA CLARA                ,941105628,738062,N,O,1,CA
KAISER FOUND/WOODLAND HILLS             ,941105628,682024,N,O,1,CA
KAISER FOUNDATION BALDWIN PARK          ,941105628,3081618,N,O,1,CA
KAISER FOUNDATION BONITA                ,941105628,360924,N,O,1,CA
KAISER FOUNDATION HEALTH PLAN           ,951750445,945263,N,O,1,CA
KAISER FOUNDATION HOS SLN               ,941105628,5140729,N,O,1,CA
KAISER FOUNDATION HOSP - SOUTH BAY      ,941105628,3607641,N,O,1,CA
KAISER FOUNDATION HOSP FRESNO           ,941105628,3249183,N,O,1,CA
KAISER FOUNDATION HOSP OAKLAND          ,941105628,3226180,N,O,1,CA
KAISER FOUNDATION HOSP ROSEVILLE        ,941105628,3485314,N,O,1,CA
KAISER FOUNDATION HOSP SACRAMENTO       ,941105628,2517836,N,O,1,CA
KAISER FOUNDATION HOSP WESTSIDE         ,941105628,3702296,N,O,1,OR
KAISER FOUNDATION HOSP/ANTIOCH MED CTR  ,941105628,3001644,N,O,1,CA
KAISER FOUNDATION HOSP/SAN FRAN         ,941105628,840421,N,O,1,CA
KAISER FOUNDATION HOSP/SSF              ,941105628,3117081,N,O,1,CA
KAISER FOUNDATION HOSP/VALLEJO          ,941138208,425460,N,O,1,CA
KAISER FOUNDATION HOSP/WOODLAND         ,941105628,482850,N,O,1,CA
KAISER FOUNDATION HOSPITAL              ,941105628,211375,N,O,1,HI
KAISER FOUNDATION HOSPITAL              ,951750445,838643,N,O,1,CA
KAISER FOUNDATION HOSPITAL DOWNEY       ,941105628,3512393,N,O,1,CA
KAISER FOUNDATION HOSPITAL FREMONT      ,941105628,5945526,N,O,1,CA
KAISER FOUNDATION HOSPITAL VACAVILLE    ,941105628,3250259,N,O,1,CA
KAISER FOUNDATION HSP/BELLFLOWER        ,941105628,683388,N,O,1,CA
KAISER FOUNDATION HSP/SACRAMENTO        ,941105628,739213,N,O,1,CA
KAISER FOUNDATION VENICE                ,941105628,632730,N,O,1,CA
KAISER FOUNDATION/CARSON                ,941105628,314126,N,O,1,CA
KAISER FOUNDATION/DOWNTOWN              ,941105628,447511,N,O,1,CA
KAISER FOUNDATION/EAST L A              ,941105628,447509,N,O,1,CA
KAISER FOUNDATION/ESCONDIDO             ,941105628,360918,N,O,1,CA
KAISER FOUNDATION/EUCLID                ,941105628,733109,N,O,1,CA
KAISER FOUNDATION/FONTANA               ,941105628,602160,N,O,1,CA
KAISER FOUNDATION/GRANADA HILLS         ,941105628,682032,N,O,1,CA
KAISER FOUNDATION/HARBOR CITY           ,941105628,314130,N,O,1,CA
KAISER FOUNDATION/HAYWARD               ,941105628,567988,N,O,1,CA
KAISER FOUNDATION/HUNTINGTON BCH        ,941105628,733107,N,O,1,CA
KAISER FOUNDATION/HUNTINGTON PRK        ,941105628,683384,N,O,1,CA
KAISER FOUNDATION/IMPERIAL              ,941105628,683386,N,O,1,CA
KAISER FOUNDATION/INDIAN HILL           ,941105628,602158,N,O,1,CA
KAISER FOUNDATION/INGLEWOOD             ,941105628,632732,N,O,1,CA
KAISER FOUNDATION/L A #1530             ,941105628,447513,N,O,1,CA
KAISER FOUNDATION/L A #4867             ,941105628,447525,N,O,1,CA
KAISER FOUNDATION/L A #4900             ,941105628,447523,N,O,1,CA
KAISER FOUNDATION/LA MESA               ,941105628,360916,N,O,1,CA
KAISER FOUNDATION/LANCASTER             ,941105628,682030,N,O,1,CA
KAISER FOUNDATION/LONG BEACH            ,941105628,314128,N,O,1,CA
KAISER FOUNDATION/MAPLE STREET          ,941105628,360914,N,O,1,CA
KAISER FOUNDATION/MISSION BAY           ,941105628,360912,N,O,1,CA
KAISER FOUNDATION/NORWALK               ,941105628,683382,N,O,1,CA
KAISER FOUNDATION/ONTARIO               ,941105628,602156,N,O,1,CA
KAISER FOUNDATION/ORANGE                ,941105628,733105,N,O,1,CA
KAISER FOUNDATION/PASADENA              ,941105628,447507,N,O,1,CA
KAISER FOUNDATION/POINT LOMA            ,941105628,360910,N,O,1,CA
KAISER FOUNDATION/RIVERSIDE             ,941105628,602154,N,O,1,CA
KAISER FOUNDATION/SAN BERNARDINO        ,941105628,602152,N,O,1,CA
KAISER FOUNDATION/VAN NUYS              ,941105628,682026,N,O,1,CA
KAISER FOUNDATION/VENTURA CANYON        ,941105628,682028,N,O,1,CA
KAISER FOUNDATION/WEST COVINA           ,941105628,447505,N,O,1,CA
KAISER FOUNDATION-CLAIREMONT            ,941105628,360922,N,O,1,CA
KAISER HOSPITAL FOUND/REDWOOD           ,941105628,561624,N,O,1,CA
KAISER PERM MED CTR/ANAHEIM             ,941105628,733111,N,O,1,CA
KAISER PERMANENTE                       ,951750445,1314373,N,O,1,CA
KAISER PERMANENTE                       ,951750445,855814,N,O,1,CA
KAISER PERMANENTE                       ,930798039,85078,N,O,1,OR
KAISER PERMANENTE HOSPITAL              ,340922268,167460,P,O,1,OH
KAISER PERMANENTE MED CTR ETC           ,951750445,632734,N,O,1,CA
KAISER PERMANENTE MEDICAL CENTER        ,941105628,608842,N,O,1,HI
KAISER PERMANENTE/VALLEJO               ,941105628,2404611,N,O,1,CA
KAISER PERMANENTE/WALNUT CENTER         ,951750445,211369,N,O,1,CA
KAISER PRM MED CENTER                   ,941105628,1179907,N,O,1,CA
KAISER SUNNYSIDE MEDICAL CENTER         ,941105628,932189,N,O,1,OR
KALEIDA HEALTH                          ,161533232,2368697,P,O,1,NY
KALEIDA HEALTH - DMH                    ,160743981,476979,N,O,1,NY
KALISPELL REGIONAL MED CTR              ,237293874,530022,P,O,1,MT
KALISPELL REGIONAL MED CTR              ,810406485,530022,P,O,1,MT
KALKASKA MEMORIAL HOSP                  ,386032904,54788,P,O,1,MI
KAMAL BIJANPOUR                         ,452985591,3658197,N,O,1,CA
KANAKANAK HOSPITAL                      ,920044965,1708858,P,O,1,AK
KANAWHA VALLEY MEMORIAL HOSP            ,550450308,1629797,N,O,1,WV
KANE COMMUNITY HOSPITAL                 ,250998168,613303,P,O,1,PA
KANE COUNTY HOSPITAL                    ,870467930,421169,P,O,1,UT
KANSAS CITY BEHAVIORAL NETWORK          ,481156837,1973172,N,O,1,MO
KANSAS CITY ORTHOPAEDIC INSTIT          ,481197295,1962563,P,O,1,KS
KANSAS HEART HOSPITAL                   ,742837441,1872175,P,O,1,KS
KANSAS MEDICAL CENTER                   ,201853760,2696718,P,O,1,OK
KANSAS SPINE HOSPITAL                   ,481251730,2393738,P,O,1,OK
KANSAS SURGERY & RECOVERY CENT          ,481148580,1279945,P,O,1,KS
KANSAS UNIVERSITY PHYS                  ,481163756,3528957,N,O,1,MO
KAPIOLANI MEDICAL CTR/WMN & CHLD        ,990177350,713505,P,O,1,HI
KARMANOS CANCER CENTER                  ,201649466,2579792,P,O,1,MI
KARNES CITY HOSP                        ,741266381,1678770,N,O,1,TX
KASEMAN PRESBYTERIAN HOSPITAL           ,850105601,96621,P,O,1,NM
KATHERINE SHAW BETHEA HOSP-KSB          ,361000540,94408,P,O,1,IL
KAU HOSPITAL                            ,990262198,832175,P,O,1,HI
KAUAI VETERANS MEMORIAL HOSPITAL        ,990262194,137386,P,O,1,HI
KAUFMAN RHC GUN BARRELL                 ,751047527,1827544,N,O,1,TX
KAUKAUNA COM HOSP                       ,390875243,543897,N,O,1,WI
KAWEAH DELTA MEDICAL CENTER             ,941534475,400315,P,O,1,CA
KAYENTA HEALTH CENTER                   ,860719854,2949412,N,O,1,AZ
KAYENTA PHS     HEALTH CTR              ,860719854,2104347,N,O,1,CA
KEARNEY CO COMMUNITY HOSPITAL           ,476014070,605048,P,O,1,NE
KEARNEY REGIONAL MEDICAL CENTER         ,470604518,3787626,P,O,1,NE
KEARNEY REGIONAL MEDICAL CENTER         ,270860326,3787626,P,O,1,NE
KEARNY COUNTY HOSPITAL                  ,480568594,159850,P,O,1,KS
KECK HOSPITAL OF USC                    ,752918766,878543,P,O,1,CA
KECK HOSPITAL OF USC                    ,951642394,878543,P,O,1,CA
KEEFE MEMORIAL HOSPITAL                 ,841071323,544989,P,O,1,CO
KEEFE MEMORIAL HOSPITAL                 ,472340447,544989,P,O,1,CO
KELL WEST REGIONAL HOSPITAL             ,752756307,1857607,P,O,1,TX
KELLER ARMY HOSPITAL                    ,742452845,701816,N,O,1,NY
KELLER ARMY HOSPITAL                    ,223410427,701816,N,O,1,NY
KELLER MEMORIAL HOSPITAL                ,741785328,40549,N,O,1,MO
KELLING HOSPITAL                        ,730466130,307452,N,O,1,MO
KELOWNA GENERAL HOSPITAL                ,999999998,888260,N,O,1,BC
KELSEY MEMORIAL HOSPITAL                ,381297435,3692222,N,O,1,MI
KENDALL REGIONAL MEDICAL CENTER         ,650260078,1027594,P,O,1,GA
KENDRICK MEMORIAL HOSPITAL              ,351124905,603372,N,O,1,IN
KENMORE MERCY HOSPITAL                  ,160762843,657681,P,O,1,NY
KENNEDY MEM HOSPS UNIVE MED CTR         ,221773439,148026,P,O,1,NJ
KENNEDY MEM HOSPS/SADDLE BROOK          ,221602395,177269,N,O,1,NJ
KENNEDY MEMORIAL HOSPITALS              ,221773439,3841994,N,O,1,NJ
KENNER ARMY COMMUNITY HOSP              ,742452845,1681742,N,O,1,VA
KENNER REGIONAL MEDICAL CENTER          ,741803635,1257826,N,O,1,LA
KENNETH HALL RGNL HOSP                  ,370661243,76175,N,O,1,IL
KENNEWICK GENERAL HOSPITAL              ,910595030,381698,P,O,1,WA
KENSINGTON HOSPITAL                     ,231381447,222416,N,O,1,PA
KENT CNTY HLTH DEPT ADDICTION SVCS (MEDI,522046028,3049633,N,O,1,MD
KENT COUNTY MEMORIAL HOSPITAL           ,50258896,507240,P,O,1,RI
KENT GENERAL HOSP-BAYHEALTH MED CTR     ,510064318,502410,P,O,1,PA
KENT GENERAL HOSPITAL                   ,510782548,1952662,N,O,1,DE
KENT OAKS HOSPITAL                      ,382768398,553363,N,O,1,MI
KENT OAKS HOSPITAL                      ,386004862,1597294,N,O,1,MI
KENTFIELD REHAB & SPECIALTY HOSPITAL    ,30501846,263074,P,O,1,CA
KENTUCKIANA MEDICAL CENTER              ,263640904,3092591,P,O,1,IN
KENTUCKY RIVER MEDICAL CENTER           ,611285331,446107,P,O,1,KY
KEOKUK AREA HOSPITAL                    ,420710268,320599,P,O,1,IA
KEOKUK COUNTY HEALTH CENTER             ,426037647,395567,P,O,1,IA
KERN COUNTY HOSPITAL AUTHORITY          ,475618278,6209958,N,O,1,CA
KERN FACULTY                            ,364579578,2695105,N,O,1,CA
KERN HOSPITAL                           ,383289189,535784,N,O,1,MI
KERN MEDICAL CENTER                     ,956000925,118780,N,O,1,CA
KERN VALLEY HEALTHCARE DISTRICT         ,956142366,190022,P,O,1,CA
KERNAN HOSPITAL                         ,520591639,250002,P,O,1,MD
KERSHAWHEALTH                           ,576005963,228386,P,O,1,SC
KERSHAWHEALTH                           ,474121273,228386,P,O,1,SC
KETT MED CTR SYCAMORE                   ,310621866,640964,P,O,1,OH
KETTERING HOSPITAL                      ,340823455,744196,N,O,1,OH
KETTERING MEDICAL CENTER                ,310621866,106218,P,O,1,OH
KETTERING MEMORIAL HOSPITAL             ,310621866,3538734,P,O,1,OH
KEYSTONE CARMICHAEL                     ,680227018,2724502,P,O,1,CA
KEYSTONE ELMIRA                         ,731678478,2724503,P,O,1,CA
KH CLEVELAND GATEWAY                    ,341901793,2018071,N,O,1,PA
KIDNEY DIALYSIS & TRANSPLANT            ,721571579,2789100,N,O,1,WV
KIDS HELPING KIDS                       ,311000025,1817772,N,O,1,OH
KILMICHAEL HOSPITAL                     ,646011262,59053,N,O,1,MS
KIMBALL HEALTH SERVICES                 ,476007155,23640,P,O,1,NE
KIMBLE HOSPITAL                         ,262294680,247234,P,O,1,TX
KIMBROUGH AMBULATORY CARE CENT          ,521989393,1389842,N,O,1,MD
KIMBROUGH ARMY HOSPITAL                 ,526004182,458200,N,O,1,MD
KINDRED HOSP INDY SOUTH                 ,351896219,1192122,P,O,1,IN
KINDRED HOSP NASHVILLE                  ,522085561,2454433,P,O,1,TN
KINDRED HOSP NEW JERSEY WAYNE           ,522085555,2817275,P,O,1,PA
KINDRED HOSP PA-NORTH SHORE             ,202822240,2841067,P,O,1,PA
KINDRED HOSP PITTSBURGH                 ,522085555,1834687,P,O,1,PA
KINDRED HOSP PITTSBURGH                 ,812451457,1834687,P,O,1,PA
KINDRED HOSP SO FL CORAL GABLES         ,522085555,245169,P,O,1,GA
KINDRED HOSP SO FL FT LAUDERDALE        ,522085555,788083,P,O,1,KY
KINDRED HOSP SOUTH FLORIDA HOLLYWOOD    ,522085555,2497345,P,O,1,GA
KINDRED HOSP TARANT CTY ARLINGTON CAMPUS,752451969,1118529,P,O,1,TX
KINDRED HOSP/METRO DETROIT              ,330746005,2200384,N,O,1,MI
KINDRED HOSPITAL  WYOMING VILLAGE       ,522085555,2908724,P,O,1,PA
KINDRED HOSPITAL ALBUQUERQUE            ,850415191,1322856,P,O,1,TX
KINDRED HOSPITAL ARIZONA PHOENIX        ,522085556,2596812,N,O,1,UT
KINDRED HOSPITAL AZ-NORTHWEST PHOENIX   ,522085556,2871776,N,O,1,UT
KINDRED HOSPITAL CENTRAL TAMPA          ,593170069,656881,P,O,1,GA
KINDRED HOSPITAL CHATTANOOGA            ,522085561,1120408,P,O,1,TN
KINDRED HOSPITAL DALLAS                 ,522085561,596332,P,O,1,TX
KINDRED HOSPITAL DALLAS CENTRAL         ,203586828,2902116,P,O,1,TX
KINDRED HOSPITAL DALLAS CENTRAL         ,270339863,2902116,P,O,1,TX
KINDRED HOSPITAL DELAWARE CTY           ,522166228,2218921,P,O,1,PA
KINDRED HOSPITAL DENVER                 ,522085556,109469,P,O,1,TX
KINDRED HOSPITAL DETROIT                ,752695684,2715392,N,O,1,OH
KINDRED HOSPITAL GREENSBORO             ,522085555,1829703,P,O,1,NC
KINDRED HOSPITAL HAVERTOWN              ,522085555,2943740,P,O,1,PA
KINDRED HOSPITAL HERITAGE VALLEY        ,522085555,2913507,P,O,1,PA
KINDRED HOSPITAL KANSAS CITY            ,522085555,978894,P,O,1,MO
KINDRED HOSPITAL LIMA                   ,752695684,1985215,N,O,1,OH
KINDRED HOSPITAL MANSFIELD              ,522085561,2663460,P,O,1,TX
KINDRED HOSPITAL MELBOURNE              ,203329727,3148431,P,O,1,GA
KINDRED HOSPITAL MINNESOTA              ,411765071,2098925,N,O,1,MN
KINDRED HOSPITAL NASHVILLE              ,571064023,2695830,N,O,1,TN
KINDRED HOSPITAL NORTH FLORIDA          ,522085555,1239833,P,O,1,TX
KINDRED HOSPITAL NORTHEAST-BRAINTREE    ,203618938,2583076,N,O,1,MA
KINDRED HOSPITAL NORTHEAST-NATICK       ,203618938,2459813,N,O,1,MA
KINDRED HOSPITAL NORTHEAST-NATICK       ,43557855,2459813,N,O,1,MA
KINDRED HOSPITAL NORTHLAND              ,204340714,2870041,P,O,1,MO
KINDRED HOSPITAL NORTHWEST INDIANA      ,431726280,1357388,P,O,1,OH
KINDRED HOSPITAL OCALA                  ,522085555,3061067,P,O,1,TX
KINDRED HOSPITAL OKLAHOMA CITY SOUTH    ,522085561,2576059,P,O,1,TX
KINDRED HOSPITAL PALM BEACH             ,203329716,3036382,P,O,1,GA
KINDRED HOSPITAL RICHMOND               ,522085555,2946409,N,O,1,VA
KINDRED HOSPITAL SEATTLE FIRST HILL     ,911637321,3445125,P,O,1,WA
KINDRED HOSPITAL SEATTLE NORTHGATE      ,911637321,1191915,P,O,1,WA
KINDRED HOSPITAL ST PETERSBURG          ,522085555,1848880,P,O,1,KY
